feature,test,stat,p_value,drifted
personal_status_male mar/wid,Chi2,1.2629,0.2611,False
other_parties_guarantor,Chi2,1.1174,0.2905,False
personal_status_male single,Chi2,1.0692,0.3011,False
credit_history_existing paid,Chi2,0.8753,0.3495,False
age,KS,0.07,0.4024,False
other_parties_none,Chi2,0.535,0.4645,False
credit_history_critical/other existing credit,Chi2,0.5124,0.4741,False
savings_status,KS,0.0625,0.5473,False
property_magnitude_life insurance,Chi2,0.224,0.636,False
installment_commitment,KS,0.0562,0.6795,False
credit_amount_log,KS,0.055,0.7061,False
monthly_burden,KS,0.0512,0.7833,False
credit_history_delayed previously,Chi2,0.0637,0.8007,False
property_magnitude_no known property,Chi2,0.0568,0.8116,False
other_payment_plans_none,Chi2,0.034,0.8537,False
employment,KS,0.045,0.8938,False
foreign_worker_yes,Chi2,0.002,0.9647,False
credit_history_no credits/all paid,Chi2,0.0016,0.9686,False
other_payment_plans_stores,Chi2,0.0015,0.9689,False
purpose_risk_low_risk,Chi2,0.0006,0.98,False
duration,KS,0.03,0.9983,False
financial_stress_score,KS,0.0188,1.0,False
high_risk_interaction,Chi2,0.0,1.0,False
checking_status,KS,0.0138,1.0,False
personal_status_male div/sep,Chi2,0.0,1.0,False
property_magnitude_real estate,Chi2,0.0,1.0,False
housing_rent,Chi2,0.0,1.0,False
housing_own,Chi2,0.0,1.0,False
